,value,trial,game,participant,condition,experiment,dyad,mapping
674,19.0,74,1,c09_p1,control,4.0,c09,d
675,19.0,75,1,c09_p1,control,4.0,c09,d
676,19.0,76,1,c09_p1,control,4.0,c09,d
677,19.0,77,1,c09_p1,control,4.0,c09,d
678,20.0,78,1,c09_p1,control,4.0,c09,d
679,20.0,79,1,c09_p1,control,4.0,c09,d
680,20.0,80,1,c09_p1,control,4.0,c09,d
681,20.0,81,1,c09_p1,control,4.0,c09,d
682,21.0,82,1,c09_p1,control,4.0,c09,d
683,21.0,83,1,c09_p1,control,4.0,c09,d
684,21.0,84,1,c09_p1,control,4.0,c09,d
685,21.0,85,1,c09_p1,control,4.0,c09,d
686,22.0,86,1,c09_p1,control,4.0,c09,d
687,22.0,87,1,c09_p1,control,4.0,c09,d
688,22.0,88,1,c09_p1,control,4.0,c09,d
689,22.0,89,1,c09_p1,control,4.0,c09,d
690,22.0,90,1,c09_p1,control,4.0,c09,d
691,23.0,91,1,c09_p1,control,4.0,c09,d
692,23.0,92,1,c09_p1,control,4.0,c09,d
693,23.0,93,1,c09_p1,control,4.0,c09,d
694,23.0,94,1,c09_p1,control,4.0,c09,d
695,23.0,95,1,c09_p1,control,4.0,c09,d
696,24.0,96,1,c09_p1,control,4.0,c09,d
697,24.0,97,1,c09_p1,control,4.0,c09,d
698,24.0,98,1,c09_p1,control,4.0,c09,d
699,25.0,99,1,c09_p1,control,4.0,c09,d
700,0.0,0,1,c10_p1,control,4.0,c10,d
701,0.0,1,1,c10_p1,control,4.0,c10,d
702,0.0,2,1,c10_p1,control,4.0,c10,d
703,0.0,3,1,c10_p1,control,4.0,c10,d
704,0.0,4,1,c10_p1,control,4.0,c10,d
705,0.0,5,1,c10_p1,control,4.0,c10,d
706,0.0,6,1,c10_p1,control,4.0,c10,d
707,0.0,7,1,c10_p1,control,4.0,c10,d
708,1.0,8,1,c10_p1,control,4.0,c10,d
709,2.0,9,1,c10_p1,control,4.0,c10,d
710,3.0,10,1,c10_p1,control,4.0,c10,d
711,4.0,11,1,c10_p1,control,4.0,c10,d
712,5.0,12,1,c10_p1,control,4.0,c10,d
713,5.0,13,1,c10_p1,control,4.0,c10,d
714,6.0,14,1,c10_p1,control,4.0,c10,d
715,7.0,15,1,c10_p1,control,4.0,c10,d
716,7.0,16,1,c10_p1,control,4.0,c10,d
717,7.0,17,1,c10_p1,control,4.0,c10,d
718,7.0,18,1,c10_p1,control,4.0,c10,d
719,7.0,19,1,c10_p1,control,4.0,c10,d
720,7.0,20,1,c10_p1,control,4.0,c10,d
721,7.0,21,1,c10_p1,control,4.0,c10,d
722,8.0,22,1,c10_p1,control,4.0,c10,d
723,9.0,23,1,c10_p1,control,4.0,c10,d
724,9.0,24,1,c10_p1,control,4.0,c10,d
725,10.0,25,1,c10_p1,control,4.0,c10,d
726,11.0,26,1,c10_p1,control,4.0,c10,d
727,12.0,27,1,c10_p1,control,4.0,c10,d
728,12.0,28,1,c10_p1,control,4.0,c10,d
729,13.0,29,1,c10_p1,control,4.0,c10,d
730,14.0,30,1,c10_p1,control,4.0,c10,d
731,15.0,31,1,c10_p1,control,4.0,c10,d
732,16.0,32,1,c10_p1,control,4.0,c10,d
733,17.0,33,1,c10_p1,control,4.0,c10,d
734,18.0,34,1,c10_p1,control,4.0,c10,d
735,18.0,35,1,c10_p1,control,4.0,c10,d
736,18.0,36,1,c10_p1,control,4.0,c10,d
737,18.0,37,1,c10_p1,control,4.0,c10,d
738,18.0,38,1,c10_p1,control,4.0,c10,d
739,19.0,39,1,c10_p1,control,4.0,c10,d
740,20.0,40,1,c10_p1,control,4.0,c10,d
741,21.0,41,1,c10_p1,control,4.0,c10,d
742,22.0,42,1,c10_p1,control,4.0,c10,d
743,23.0,43,1,c10_p1,control,4.0,c10,d
744,23.0,44,1,c10_p1,control,4.0,c10,d
745,23.0,45,1,c10_p1,control,4.0,c10,d
746,24.0,46,1,c10_p1,control,4.0,c10,d
747,25.0,47,1,c10_p1,control,4.0,c10,d
748,26.0,48,1,c10_p1,control,4.0,c10,d
749,27.0,49,1,c10_p1,control,4.0,c10,d
750,28.0,50,1,c10_p1,control,4.0,c10,d
751,29.0,51,1,c10_p1,control,4.0,c10,d
752,30.0,52,1,c10_p1,control,4.0,c10,d
753,31.0,53,1,c10_p1,control,4.0,c10,d
754,32.0,54,1,c10_p1,control,4.0,c10,d
755,33.0,55,1,c10_p1,control,4.0,c10,d
756,34.0,56,1,c10_p1,control,4.0,c10,d
757,35.0,57,1,c10_p1,control,4.0,c10,d
758,36.0,58,1,c10_p1,control,4.0,c10,d
759,37.0,59,1,c10_p1,control,4.0,c10,d
