,block,value,game,participant,condition,experiment,dyad,mapping,group
415,3,21.0,1,c16_p1,control,4.0,c16,s,game 1 control
416,3,25.0,1,c17_p1,control,4.0,c17,s,game 1 control
417,3,17.0,1,c18_p1,control,4.0,c18,s,game 1 control
418,3,7.0,1,s01_p1,control,3.0,s01,d,game 1 control
419,3,10.0,1,s03_p1,control,3.0,s03,d,game 1 control
420,3,11.0,1,s05_p1,control,3.0,s05,d,game 1 control
421,3,10.0,1,s06_p1,control,3.0,s06,d,game 1 control
422,3,20.0,1,s07_p1,control,3.0,s07,d,game 1 control
423,3,25.0,1,s08_p1,control,3.0,s08,d,game 1 control
424,3,11.0,1,s09_p1,control,3.0,s09,d,game 1 control
425,3,13.0,1,s11_p1,control,3.0,s11,s,game 1 control
426,3,25.0,1,s12_p1,control,3.0,s12,s,game 1 control
427,3,30.0,1,s14_p1,control,3.0,s14,s,game 1 control
428,3,28.0,1,s15_p1,control,3.0,s15,s,game 1 control
429,3,9.0,1,s16_p1,control,3.0,s16,s,game 1 control
430,3,27.0,1,s17_p1,control,3.0,s17,s,game 1 control
431,3,21.0,1,s19_p1,control,3.0,s19,s,game 1 control
432,3,9.0,1,s20_p1,control,3.0,s20,s,game 1 control
433,3,23.0,2,c01_p1,control,4.0,c01,s,game 2 control
434,3,27.0,2,c02_p1,control,4.0,c02,d,game 2 control
435,3,27.0,2,c03_p1,control,4.0,c03,d,game 2 control
436,3,11.0,2,c05_p1,control,4.0,c05,d,game 2 control
437,3,7.0,2,c06_p1,control,4.0,c06,d,game 2 control
438,3,29.0,2,c07_p1,control,4.0,c07,d,game 2 control
439,3,5.0,2,c09_p1,control,4.0,c09,d,game 2 control
440,3,19.0,2,c10_p1,control,4.0,c10,d,game 2 control
441,3,23.0,2,c11_p1,control,4.0,c11,d,game 2 control
442,3,5.0,2,c12_p1,control,4.0,c12,s,game 2 control
443,3,11.0,2,c13_p1,control,4.0,c13,s,game 2 control
444,3,18.0,2,c14_p1,control,4.0,c14,s,game 2 control
445,3,24.0,2,c15_p1,control,4.0,c15,s,game 2 control
446,3,28.0,2,c16_p1,control,4.0,c16,s,game 2 control
447,3,10.0,2,c17_p1,control,4.0,c17,s,game 2 control
448,3,23.0,2,c18_p1,control,4.0,c18,s,game 2 control
449,3,12.0,2,s01_p1,control,3.0,s01,d,game 2 control
450,3,12.0,2,s03_p1,control,3.0,s03,d,game 2 control
451,3,30.0,2,s05_p1,control,3.0,s05,d,game 2 control
452,3,30.0,2,s06_p1,control,3.0,s06,d,game 2 control
453,3,21.0,2,s07_p1,control,3.0,s07,d,game 2 control
454,3,22.0,2,s08_p1,control,3.0,s08,d,game 2 control
455,3,16.0,2,s09_p1,control,3.0,s09,d,game 2 control
456,3,14.0,2,s11_p1,control,3.0,s11,s,game 2 control
457,3,28.0,2,s12_p1,control,3.0,s12,s,game 2 control
458,3,30.0,2,s14_p1,control,3.0,s14,s,game 2 control
459,3,25.0,2,s15_p1,control,3.0,s15,s,game 2 control
460,3,11.0,2,s16_p1,control,3.0,s16,s,game 2 control
461,3,21.0,2,s17_p1,control,3.0,s17,s,game 2 control
462,3,25.0,2,s19_p1,control,3.0,s19,s,game 2 control
463,3,16.0,2,s20_p1,control,3.0,s20,s,game 2 control
464,3,7.0,1,j01_p1,social,3.0,j01,d,game 1 social
465,3,9.0,1,j01_p2,social,3.0,j01,d,game 1 social
466,3,12.0,1,j02_p1,social,3.0,j02,d,game 1 social
467,3,12.0,1,j02_p2,social,3.0,j02,d,game 1 social
468,3,22.0,1,j03_p1,social,3.0,j03,d,game 1 social
469,3,22.0,1,j03_p2,social,3.0,j03,d,game 1 social
470,3,14.0,1,j04_p1,social,3.0,j04,d,game 1 social
471,3,13.0,1,j04_p2,social,3.0,j04,d,game 1 social
472,3,25.0,1,j05_p1,social,3.0,j05,d,game 1 social
473,3,18.0,1,j05_p2,social,3.0,j05,d,game 1 social
474,3,10.0,1,j06_p1,social,3.0,j06,d,game 1 social
475,3,15.0,1,j06_p2,social,3.0,j06,d,game 1 social
476,3,17.0,1,j07_p1,social,3.0,j07,d,game 1 social
477,3,23.0,1,j07_p2,social,3.0,j07,d,game 1 social
478,3,8.0,1,j08_p1,social,3.0,j08,d,game 1 social
479,3,15.0,1,j08_p2,social,3.0,j08,d,game 1 social
480,3,15.0,1,j10_p1,social,3.0,j10,s,game 1 social
481,3,27.0,1,j10_p2,social,3.0,j10,s,game 1 social
482,3,18.0,1,j11_p1,social,3.0,j11,s,game 1 social
483,3,30.0,1,j11_p2,social,3.0,j11,s,game 1 social
484,3,7.0,1,m01_p1,social,4.0,m01,d,game 1 social
485,3,10.0,1,m01_p2,social,4.0,m01,d,game 1 social
486,3,10.0,1,m03_p1,social,4.0,m03,d,game 1 social
487,3,13.0,1,m03_p2,social,4.0,m03,d,game 1 social
488,3,20.0,1,m05_p1,social,4.0,m05,d,game 1 social
489,3,14.0,1,m05_p2,social,4.0,m05,d,game 1 social
490,3,20.0,1,m08_p1,social,4.0,m08,s,game 1 social
491,3,27.0,1,m08_p2,social,4.0,m08,s,game 1 social
492,3,16.0,1,m10_p1,social,4.0,m10,s,game 1 social
493,3,13.0,1,m10_p2,social,4.0,m10,s,game 1 social
494,3,30.0,1,m11_p1,social,4.0,m11,s,game 1 social
495,3,30.0,1,m11_p2,social,4.0,m11,s,game 1 social
496,3,15.0,1,m13_p1,social,4.0,m13,s,game 1 social
497,3,14.0,1,m13_p2,social,4.0,m13,s,game 1 social
498,3,19.0,1,m14_p1,social,4.0,m14,s,game 1 social
499,3,9.0,1,m14_p2,social,4.0,m14,s,game 1 social
500,3,17.0,2,j01_p1,social,3.0,j01,d,game 2 social
501,3,8.0,2,j01_p2,social,3.0,j01,d,game 2 social
502,3,12.0,2,j02_p1,social,3.0,j02,d,game 2 social
503,3,30.0,2,j02_p2,social,3.0,j02,d,game 2 social
504,3,29.0,2,j03_p1,social,3.0,j03,d,game 2 social
505,3,28.0,2,j03_p2,social,3.0,j03,d,game 2 social
506,3,8.0,2,j04_p1,social,3.0,j04,d,game 2 social
507,3,8.0,2,j04_p2,social,3.0,j04,d,game 2 social
