,variable,value,trial
656,m08_p1_g1,10,56
657,m08_p1_g1,10,57
658,m08_p1_g1,10,58
659,m08_p1_g1,10,59
660,m08_p1_g1,11,60
661,m08_p1_g1,11,61
662,m08_p1_g1,11,62
663,m08_p1_g1,11,63
664,m08_p1_g1,12,64
665,m08_p1_g1,12,65
666,m08_p1_g1,12,66
667,m08_p1_g1,12,67
668,m08_p1_g1,12,68
669,m08_p1_g1,12,69
670,m08_p1_g1,12,70
671,m08_p1_g1,12,71
672,m08_p1_g1,12,72
673,m08_p1_g1,12,73
674,m08_p1_g1,12,74
675,m08_p1_g1,12,75
676,m08_p1_g1,12,76
677,m08_p1_g1,12,77
678,m08_p1_g1,12,78
679,m08_p1_g1,12,79
680,m08_p1_g1,12,80
681,m08_p1_g1,12,81
682,m08_p1_g1,12,82
683,m08_p1_g1,12,83
684,m08_p1_g1,12,84
685,m08_p1_g1,12,85
686,m08_p1_g1,12,86
687,m08_p1_g1,12,87
688,m08_p1_g1,12,88
689,m08_p1_g1,12,89
690,m08_p1_g1,12,90
691,m08_p1_g1,12,91
692,m08_p1_g1,12,92
693,m08_p1_g1,13,93
694,m08_p1_g1,13,94
695,m08_p1_g1,13,95
696,m08_p1_g1,13,96
697,m08_p1_g1,13,97
698,m08_p1_g1,13,98
699,m08_p1_g1,13,99
700,m08_p2_g1,0,0
701,m08_p2_g1,0,1
702,m08_p2_g1,0,2
703,m08_p2_g1,1,3
704,m08_p2_g1,2,4
705,m08_p2_g1,2,5
706,m08_p2_g1,2,6
707,m08_p2_g1,2,7
708,m08_p2_g1,2,8
709,m08_p2_g1,2,9
710,m08_p2_g1,2,10
711,m08_p2_g1,2,11
712,m08_p2_g1,3,12
713,m08_p2_g1,4,13
714,m08_p2_g1,4,14
715,m08_p2_g1,4,15
716,m08_p2_g1,4,16
717,m08_p2_g1,4,17
718,m08_p2_g1,5,18
719,m08_p2_g1,5,19
720,m08_p2_g1,5,20
721,m08_p2_g1,5,21
722,m08_p2_g1,5,22
723,m08_p2_g1,5,23
724,m08_p2_g1,5,24
725,m08_p2_g1,5,25
726,m08_p2_g1,5,26
727,m08_p2_g1,5,27
728,m08_p2_g1,5,28
729,m08_p2_g1,5,29
730,m08_p2_g1,6,30
731,m08_p2_g1,6,31
732,m08_p2_g1,6,32
733,m08_p2_g1,6,33
734,m08_p2_g1,6,34
735,m08_p2_g1,6,35
736,m08_p2_g1,7,36
737,m08_p2_g1,7,37
738,m08_p2_g1,7,38
739,m08_p2_g1,7,39
740,m08_p2_g1,7,40
741,m08_p2_g1,7,41
742,m08_p2_g1,7,42
743,m08_p2_g1,7,43
744,m08_p2_g1,8,44
745,m08_p2_g1,8,45
746,m08_p2_g1,8,46
747,m08_p2_g1,8,47
748,m08_p2_g1,8,48
749,m08_p2_g1,8,49
750,m08_p2_g1,8,50
751,m08_p2_g1,8,51
752,m08_p2_g1,8,52
753,m08_p2_g1,8,53
754,m08_p2_g1,8,54
755,m08_p2_g1,8,55
756,m08_p2_g1,8,56
757,m08_p2_g1,8,57
758,m08_p2_g1,8,58
759,m08_p2_g1,8,59
760,m08_p2_g1,8,60
761,m08_p2_g1,8,61
762,m08_p2_g1,8,62
763,m08_p2_g1,8,63
764,m08_p2_g1,8,64
765,m08_p2_g1,8,65
766,m08_p2_g1,8,66
767,m08_p2_g1,8,67
768,m08_p2_g1,8,68
769,m08_p2_g1,8,69
770,m08_p2_g1,8,70
771,m08_p2_g1,8,71
772,m08_p2_g1,8,72
773,m08_p2_g1,8,73
774,m08_p2_g1,8,74
775,m08_p2_g1,8,75
776,m08_p2_g1,8,76
777,m08_p2_g1,8,77
778,m08_p2_g1,8,78
779,m08_p2_g1,8,79
780,m08_p2_g1,8,80
781,m08_p2_g1,8,81
782,m08_p2_g1,8,82
783,m08_p2_g1,8,83
784,m08_p2_g1,8,84
785,m08_p2_g1,8,85
786,m08_p2_g1,8,86
787,m08_p2_g1,8,87
788,m08_p2_g1,8,88
789,m08_p2_g1,9,89
790,m08_p2_g1,9,90
791,m08_p2_g1,9,91
792,m08_p2_g1,9,92
793,m08_p2_g1,9,93
794,m08_p2_g1,9,94
795,m08_p2_g1,9,95
796,m08_p2_g1,9,96
797,m08_p2_g1,9,97
798,m08_p2_g1,9,98
799,m08_p2_g1,9,99
800,m10_p1_g1,0,0
801,m10_p1_g1,0,1
802,m10_p1_g1,0,2
803,m10_p1_g1,0,3
804,m10_p1_g1,1,4
805,m10_p1_g1,1,5
806,m10_p1_g1,1,6
807,m10_p1_g1,2,7
808,m10_p1_g1,2,8
809,m10_p1_g1,2,9
810,m10_p1_g1,3,10
811,m10_p1_g1,3,11
812,m10_p1_g1,4,12
813,m10_p1_g1,4,13
814,m10_p1_g1,4,14
815,m10_p1_g1,5,15
816,m10_p1_g1,5,16
817,m10_p1_g1,6,17
818,m10_p1_g1,6,18
819,m10_p1_g1,7,19
820,m10_p1_g1,7,20
821,m10_p1_g1,8,21
822,m10_p1_g1,8,22
823,m10_p1_g1,9,23
824,m10_p1_g1,9,24
825,m10_p1_g1,9,25
826,m10_p1_g1,10,26
827,m10_p1_g1,10,27
828,m10_p1_g1,11,28
829,m10_p1_g1,11,29
830,m10_p1_g1,12,30
831,m10_p1_g1,12,31
832,m10_p1_g1,12,32
833,m10_p1_g1,12,33
834,m10_p1_g1,12,34
835,m10_p1_g1,12,35
836,m10_p1_g1,12,36
837,m10_p1_g1,12,37
838,m10_p1_g1,13,38
839,m10_p1_g1,13,39
840,m10_p1_g1,13,40
841,m10_p1_g1,13,41
842,m10_p1_g1,14,42
843,m10_p1_g1,14,43
844,m10_p1_g1,14,44
845,m10_p1_g1,14,45
846,m10_p1_g1,14,46
847,m10_p1_g1,15,47
848,m10_p1_g1,15,48
849,m10_p1_g1,15,49
850,m10_p1_g1,15,50
851,m10_p1_g1,15,51
852,m10_p1_g1,15,52
853,m10_p1_g1,15,53
854,m10_p1_g1,16,54
855,m10_p1_g1,16,55
856,m10_p1_g1,16,56
857,m10_p1_g1,16,57
858,m10_p1_g1,16,58
859,m10_p1_g1,16,59
860,m10_p1_g1,16,60
861,m10_p1_g1,16,61
862,m10_p1_g1,17,62
863,m10_p1_g1,17,63
864,m10_p1_g1,17,64
865,m10_p1_g1,17,65
866,m10_p1_g1,18,66
867,m10_p1_g1,18,67
868,m10_p1_g1,18,68
869,m10_p1_g1,18,69
870,m10_p1_g1,18,70
871,m10_p1_g1,18,71
872,m10_p1_g1,18,72
873,m10_p1_g1,18,73
874,m10_p1_g1,18,74
875,m10_p1_g1,18,75
876,m10_p1_g1,18,76
877,m10_p1_g1,18,77
878,m10_p1_g1,19,78
879,m10_p1_g1,20,79
880,m10_p1_g1,20,80
881,m10_p1_g1,20,81
882,m10_p1_g1,21,82
883,m10_p1_g1,21,83
884,m10_p1_g1,21,84
885,m10_p1_g1,21,85
886,m10_p1_g1,21,86
887,m10_p1_g1,21,87
888,m10_p1_g1,21,88
889,m10_p1_g1,21,89
890,m10_p1_g1,21,90
891,m10_p1_g1,21,91
892,m10_p1_g1,21,92
893,m10_p1_g1,21,93
894,m10_p1_g1,21,94
895,m10_p1_g1,21,95
896,m10_p1_g1,21,96
897,m10_p1_g1,21,97
898,m10_p1_g1,21,98
899,m10_p1_g1,21,99
900,m10_p2_g1,0,0
901,m10_p2_g1,0,1
902,m10_p2_g1,0,2
903,m10_p2_g1,1,3
904,m10_p2_g1,1,4
