,value,trial,game,participant,condition,experiment,dyad,mapping
293,4.0,93,1,c03_p1,control,4.0,c03,d
294,4.0,94,1,c03_p1,control,4.0,c03,d
295,4.0,95,1,c03_p1,control,4.0,c03,d
296,4.0,96,1,c03_p1,control,4.0,c03,d
297,4.0,97,1,c03_p1,control,4.0,c03,d
298,4.0,98,1,c03_p1,control,4.0,c03,d
299,4.0,99,1,c03_p1,control,4.0,c03,d
300,0.0,0,1,c05_p1,control,4.0,c05,d
301,1.0,1,1,c05_p1,control,4.0,c05,d
302,1.0,2,1,c05_p1,control,4.0,c05,d
303,1.0,3,1,c05_p1,control,4.0,c05,d
304,1.0,4,1,c05_p1,control,4.0,c05,d
305,1.0,5,1,c05_p1,control,4.0,c05,d
306,2.0,6,1,c05_p1,control,4.0,c05,d
307,2.0,7,1,c05_p1,control,4.0,c05,d
308,2.0,8,1,c05_p1,control,4.0,c05,d
309,3.0,9,1,c05_p1,control,4.0,c05,d
310,3.0,10,1,c05_p1,control,4.0,c05,d
311,3.0,11,1,c05_p1,control,4.0,c05,d
312,4.0,12,1,c05_p1,control,4.0,c05,d
313,4.0,13,1,c05_p1,control,4.0,c05,d
314,4.0,14,1,c05_p1,control,4.0,c05,d
315,5.0,15,1,c05_p1,control,4.0,c05,d
316,5.0,16,1,c05_p1,control,4.0,c05,d
317,5.0,17,1,c05_p1,control,4.0,c05,d
318,6.0,18,1,c05_p1,control,4.0,c05,d
319,6.0,19,1,c05_p1,control,4.0,c05,d
320,7.0,20,1,c05_p1,control,4.0,c05,d
321,7.0,21,1,c05_p1,control,4.0,c05,d
322,7.0,22,1,c05_p1,control,4.0,c05,d
323,8.0,23,1,c05_p1,control,4.0,c05,d
324,8.0,24,1,c05_p1,control,4.0,c05,d
325,8.0,25,1,c05_p1,control,4.0,c05,d
326,8.0,26,1,c05_p1,control,4.0,c05,d
327,9.0,27,1,c05_p1,control,4.0,c05,d
328,9.0,28,1,c05_p1,control,4.0,c05,d
329,10.0,29,1,c05_p1,control,4.0,c05,d
330,10.0,30,1,c05_p1,control,4.0,c05,d
331,11.0,31,1,c05_p1,control,4.0,c05,d
332,11.0,32,1,c05_p1,control,4.0,c05,d
333,12.0,33,1,c05_p1,control,4.0,c05,d
334,12.0,34,1,c05_p1,control,4.0,c05,d
335,12.0,35,1,c05_p1,control,4.0,c05,d
336,12.0,36,1,c05_p1,control,4.0,c05,d
337,12.0,37,1,c05_p1,control,4.0,c05,d
338,12.0,38,1,c05_p1,control,4.0,c05,d
339,12.0,39,1,c05_p1,control,4.0,c05,d
340,12.0,40,1,c05_p1,control,4.0,c05,d
341,13.0,41,1,c05_p1,control,4.0,c05,d
342,13.0,42,1,c05_p1,control,4.0,c05,d
343,14.0,43,1,c05_p1,control,4.0,c05,d
344,14.0,44,1,c05_p1,control,4.0,c05,d
345,14.0,45,1,c05_p1,control,4.0,c05,d
346,14.0,46,1,c05_p1,control,4.0,c05,d
347,15.0,47,1,c05_p1,control,4.0,c05,d
348,15.0,48,1,c05_p1,control,4.0,c05,d
349,15.0,49,1,c05_p1,control,4.0,c05,d
350,16.0,50,1,c05_p1,control,4.0,c05,d
351,16.0,51,1,c05_p1,control,4.0,c05,d
352,16.0,52,1,c05_p1,control,4.0,c05,d
353,17.0,53,1,c05_p1,control,4.0,c05,d
354,17.0,54,1,c05_p1,control,4.0,c05,d
355,17.0,55,1,c05_p1,control,4.0,c05,d
356,18.0,56,1,c05_p1,control,4.0,c05,d
357,18.0,57,1,c05_p1,control,4.0,c05,d
358,18.0,58,1,c05_p1,control,4.0,c05,d
359,18.0,59,1,c05_p1,control,4.0,c05,d
360,19.0,60,1,c05_p1,control,4.0,c05,d
361,19.0,61,1,c05_p1,control,4.0,c05,d
362,19.0,62,1,c05_p1,control,4.0,c05,d
363,20.0,63,1,c05_p1,control,4.0,c05,d
364,21.0,64,1,c05_p1,control,4.0,c05,d
365,21.0,65,1,c05_p1,control,4.0,c05,d
366,21.0,66,1,c05_p1,control,4.0,c05,d
367,21.0,67,1,c05_p1,control,4.0,c05,d
368,21.0,68,1,c05_p1,control,4.0,c05,d
369,21.0,69,1,c05_p1,control,4.0,c05,d
370,22.0,70,1,c05_p1,control,4.0,c05,d
371,22.0,71,1,c05_p1,control,4.0,c05,d
372,23.0,72,1,c05_p1,control,4.0,c05,d
373,23.0,73,1,c05_p1,control,4.0,c05,d
374,23.0,74,1,c05_p1,control,4.0,c05,d
375,24.0,75,1,c05_p1,control,4.0,c05,d
376,24.0,76,1,c05_p1,control,4.0,c05,d
377,24.0,77,1,c05_p1,control,4.0,c05,d
378,24.0,78,1,c05_p1,control,4.0,c05,d
379,25.0,79,1,c05_p1,control,4.0,c05,d
380,25.0,80,1,c05_p1,control,4.0,c05,d
381,25.0,81,1,c05_p1,control,4.0,c05,d
382,26.0,82,1,c05_p1,control,4.0,c05,d
383,26.0,83,1,c05_p1,control,4.0,c05,d
384,26.0,84,1,c05_p1,control,4.0,c05,d
385,27.0,85,1,c05_p1,control,4.0,c05,d
386,27.0,86,1,c05_p1,control,4.0,c05,d
387,27.0,87,1,c05_p1,control,4.0,c05,d
388,28.0,88,1,c05_p1,control,4.0,c05,d
389,28.0,89,1,c05_p1,control,4.0,c05,d
390,28.0,90,1,c05_p1,control,4.0,c05,d
391,28.0,91,1,c05_p1,control,4.0,c05,d
392,28.0,92,1,c05_p1,control,4.0,c05,d
393,29.0,93,1,c05_p1,control,4.0,c05,d
394,29.0,94,1,c05_p1,control,4.0,c05,d
395,29.0,95,1,c05_p1,control,4.0,c05,d
396,30.0,96,1,c05_p1,control,4.0,c05,d
397,30.0,97,1,c05_p1,control,4.0,c05,d
398,30.0,98,1,c05_p1,control,4.0,c05,d
399,30.0,99,1,c05_p1,control,4.0,c05,d
400,0.0,0,1,c06_p1,control,4.0,c06,d
401,1.0,1,1,c06_p1,control,4.0,c06,d
402,1.0,2,1,c06_p1,control,4.0,c06,d
403,2.0,3,1,c06_p1,control,4.0,c06,d
404,2.0,4,1,c06_p1,control,4.0,c06,d
405,3.0,5,1,c06_p1,control,4.0,c06,d
406,3.0,6,1,c06_p1,control,4.0,c06,d
407,3.0,7,1,c06_p1,control,4.0,c06,d
408,3.0,8,1,c06_p1,control,4.0,c06,d
409,3.0,9,1,c06_p1,control,4.0,c06,d
410,3.0,10,1,c06_p1,control,4.0,c06,d
411,4.0,11,1,c06_p1,control,4.0,c06,d
412,4.0,12,1,c06_p1,control,4.0,c06,d
413,5.0,13,1,c06_p1,control,4.0,c06,d
414,5.0,14,1,c06_p1,control,4.0,c06,d
415,5.0,15,1,c06_p1,control,4.0,c06,d
416,5.0,16,1,c06_p1,control,4.0,c06,d
417,5.0,17,1,c06_p1,control,4.0,c06,d
418,5.0,18,1,c06_p1,control,4.0,c06,d
419,5.0,19,1,c06_p1,control,4.0,c06,d
420,5.0,20,1,c06_p1,control,4.0,c06,d
421,5.0,21,1,c06_p1,control,4.0,c06,d
422,5.0,22,1,c06_p1,control,4.0,c06,d
423,6.0,23,1,c06_p1,control,4.0,c06,d
424,6.0,24,1,c06_p1,control,4.0,c06,d
425,6.0,25,1,c06_p1,control,4.0,c06,d
426,7.0,26,1,c06_p1,control,4.0,c06,d
427,7.0,27,1,c06_p1,control,4.0,c06,d
428,7.0,28,1,c06_p1,control,4.0,c06,d
429,7.0,29,1,c06_p1,control,4.0,c06,d
430,7.0,30,1,c06_p1,control,4.0,c06,d
431,7.0,31,1,c06_p1,control,4.0,c06,d
432,7.0,32,1,c06_p1,control,4.0,c06,d
433,7.0,33,1,c06_p1,control,4.0,c06,d
434,7.0,34,1,c06_p1,control,4.0,c06,d
435,7.0,35,1,c06_p1,control,4.0,c06,d
436,7.0,36,1,c06_p1,control,4.0,c06,d
